Reaction,BLN1,BLN10,BLN11,BLN12,BLN13,BLN14,BLN15,BLN16,BLN17,BLN18,BLN19,BLN2,BLN20,BLN21,BLN24,BLN25,BLN26,BLN27,BLN28,BLN29,BLN30,BLN5,BLN6,BLN7,BLN8,BLN9,BLT1,BLT10,BLT11,BLT12,BLT14,BLT16,BLT17,BLT18,BLT19,BLT20,BLT21,BLT24,BLT25,BLT26,BLT27,BLT28,BLT29,BLT3,BLT30,BLT4,BLT5,BLT6,BLT8,BLT9,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
11DOCRTSTRNtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
11DOCRTSTRNtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
12HPETATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.174710240906975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008943919076580146,0.000326965178185936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.8745260055649087e-05,
12HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
13DAMPPOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15HPETATP,0.0,0.0,0.0,0.0,0.00011005050902186039,5.738317014388972e-05,0.0,4.722160887519598e-05,0.0,0.0,6.531692966023841e-05,0.0,0.0,0.0001045345313857824,0.0015509628093460161,0.0011895909811119709,0.00028308582279709503,0.00013785698065209797,0.0,0.0,0.00179066856543578,0.0,0.0,0.0028128967694496534,0.0,0.0,0.0,7.08876187814689e-05,0.0,0.0,0.0,0.00016381077893729646,0.0,0.0,0.0,0.0005262684365681989,0.0004737825176214136,0.0,0.0010861909253203428,0.000540201894340293,0.0,0.0,0.001430225324716803,0.0,0.0,0.0,8.119894741836256e-05,0.0,0.0,0.0,0.00039138830365176595,,0.00028364405012181094,
15HPETUPKt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
15KPROSTGF2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
1a_24_25VITD3Hm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006487180522553419,0.0005726197305859686,0.0004645646700404528,0.0,0.0003127024733648031,0.0002550827754806096,1.816940539146532e-05,0.0002702144479681885,0.0001235825361821136,3.859423081002286e-05,0.0,0.00020197206978814455,0.0008641523316685148,8.353170772742035e-05,0.0,0.0,9.742914903089603e-05,0.0006796231533470549,0.00012393241034789435,9.601040142254887e-05,0.0,0.0,0.0009358375005819557,0.0,0.0,,0.000125578619107137,
1a_25VITD3Hm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007808017502135773,0.0002535362226427158,0.0005204595013351384,0.0,0.001304297306900703,0.00013983497918681312,0.0004639387960706819,0.0006378711059600192,0.000114111933698831,8.889226325669548e-05,0.0,0.00021751877906123638,0.0010092758349916247,4.9211441195291e-05,0.0,0.0,0.00015261857729158032,0.0001437831276011508,0.00027433527623945515,0.00010946455398678953,0.00027410251629730523,0.0,0.002477584015388794,0.0,0.0,,0.00019630838145223389,
1a25DHVITD3TRn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025630905853665895,0.00043721661787114263,0.0018560943887992272,0.0,0.0010102475768239943,0.0003009244296798933,0.0006070970755436797,0.0001766836581085294,0.00020827334690905886,0.00019430915519453237,0.0,0.0002681489504170489,0.0006900965820344507,0.0003249046029779728,0.0,0.0,0.00045003561269430203,0.005068373830440847,0.002031290755258281,0.0001249688644390085,0.00014997390974205566,0.0,0.000569227804291709,0.0003733562025148935,0.0,,0.000392957049016703,
1MNCAMti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
1PPDCRp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135715919023285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66665337319723e-05,,3.1734605930934976e-05,
21HPRGNLONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
21HPRGNLONEt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
21HPRGNLONEt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
24_25DHVITD3t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
24_25DHVITD3tm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
24_25VITD3Hm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006487180522553419,0.0005726197305859686,0.0004645646700404528,0.0,0.0003127024733648031,0.0002550827754806096,1.816940539146532e-05,0.0002702144479681885,0.0001235825361821136,3.859423081002286e-05,0.0,0.00020197206978814455,0.0008641523316685148,8.353170772742035e-05,0.0,0.0,9.742914903089603e-05,0.0006796231533470549,0.00012393241034789435,9.601040142254887e-05,0.0,0.0,0.0009358375005819557,0.0,0.0,,0.000125578619107137,
25DHBDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
25DHBO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
25HVITD3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025630905853665895,0.00043721661787114263,0.0018560943887992272,0.0,0.0010102475768239943,0.0003009244296798933,0.0006070970755436797,0.0001766836581085294,0.00020827334690905886,0.00019430915519453237,0.0,0.0002681489504170489,0.0006900965820344507,0.0003249046029779728,0.0,0.0,0.00045003561269430203,0.005068373830440847,0.002031290755258281,0.0001249688644390085,0.00014997390974205566,0.0,0.000569227804291709,0.0003733562025148935,0.0,,0.000392957049016703,
25HVITD3t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002589282202136043,0.0,0.0,0.0,0.00013920642529378715,0.0,0.0,0.0,0.00042758421287048833,0.0001584204747237738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.21733510618175e-05,
25HVITD3tm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014295198024689194,-0.0008261559532286844,-0.0009850241713755912,0.0,-0.0016169997802655063,-0.00039491775466738425,-0.000482108201462195,-0.0009080855539283605,-0.0002376944698808677,-0.00012748649406663058,0.0,-0.00041949084884949586,-0.0018734281666602487,-0.00013274314892262483,0.0,0.0,-0.00025004772632239935,-0.0008234062809482056,-0.00039826768658745546,-0.00020547495540926936,0.00014997390974205566,0.0,-0.0034134215159707494,0.0003733562025148935,0.0,,-0.0003088739469752609,
25VITD3Hm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007808017502135773,0.0002535362226427158,0.0005204595013351384,0.0,0.001304297306900703,0.00013983497918681312,0.0004639387960706819,0.0006378711059600192,0.000114111933698831,8.889226325669548e-05,0.0,0.00021751877906123638,0.0010092758349916247,4.9211441195291e-05,0.0,0.0,0.00015261857729158032,0.0001437831276011508,0.00027433527623945515,0.00010946455398678953,0.00027410251629730523,0.0,0.002477584015388794,0.0,0.0,,0.00019630838145223389,
2AMACHYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006344317693254397,0.0,0.005170740058912522,0.0,0.0032037424916083993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008673406910970623,0.0,0.0006540745574843989,0.0,0.007502300824674763,0.0,0.0,,0.0006289911597323743,
2AMACSULT,0.0,0.0010531287845283596,0.0023844922437475267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011592268762463157,0.0,0.0,0.004144387278690882,0.0,0.004307736589289342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01256770370236941,0.003074757308068453,0.0,0.0,0.0,0.0,0.0,0.004915097479161698,0.0,0.006191809924903295,0.0,0.0022217977565285258,0.0,0.0010130411554982305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005616534821951188,,0.0008824592149346459,
2AMADPTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08708326896550567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.001957576121744585,
2AOBUTtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02343964344185897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03111615234117279,0.0,0.0,0.04442325983096914,0.0,0.0,0.0,0.0,0.0,0.0,,0.0019650459090650016,
2DR1PP,0.0,0.0,0.001454293398081944,0.0007869381032555571,0.0,0.001003232374423761,0.0004672079780547457,0.0,0.0,0.0,0.0,0.0007818736760710696,0.0,0.0,0.0,0.0,0.03851924564658343,0.0,0.0,0.0009358791215926381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005232215021610693,0.0,0.0,0.0,0.0,0.00438127390011588,0.0,0.0,0.0,0.0,0.0,0.0021098069156333756,,0.0010762334254451004,
2H3MVc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2H3MVte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2HBACACte,0.0,0.0,0.0,0.0,0.0,-368.4753590989526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.53943203776382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.444528111969664,,-4.612090341100876,
2HBACte,0.0,0.0,0.0,0.0,0.0,-693.6771316639191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.6622557938947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.04767143672892,,-9.915601809800213,
2HBBUTte,0.0,0.0,0.0,0.0,0.0,163.08819817508706,0.06350839628634165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-417.4983620081907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0096684041623485,,-2.8439565950911754,
2HBFORte,0.0,0.0,0.0,0.0,0.0,-194.04391930890688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.98996052509074,-0.005657018152799262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.802280761738881,,0.15827619097210477,
2HBLACte,0.0,0.0,0.0,0.0,0.0,729.8462782621593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.9815845379123,-36.0165328967097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-330.875354499857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.45744822844638,,-0.4938578178070813,
2HBO,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012250087398237312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5793962615699345e-05,,-2.004197283738608e-05,
2HBPPAte,0.0,0.0,0.0,0.0,0.0,93.05436949350074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.145001443934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8670791841921157,,18.941637479460354,
2HBPYRte,0.0,0.0,0.0,0.0,0.0,459.44317290907435,-0.06228338754651793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-286.35001016803125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6272608373118,,4.931196281491195,
2HBRETNte,0.0,0.0,0.0,0.0,0.0,-719.7105451093375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.7528173616374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.077015946369613,,-17.465035853536357,
2HBt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.022189914862324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26237969010225143,0.0,-330.875354499857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.39098256750455,
