SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
CSNATp,0,1,23,24
CSNATr,0,1,23,24
CTPS1,23,25,0,0
CTPtm,6,6,17,19
CYOOm2,0,1,23,24
CYOR_u10m,0,1,23,24
CYSTGL,2,1,21,24
CYSTRS,23,25,0,0
CYSTS,2,1,21,24
CYSt4,1,8,22,17
CYTD,1,0,22,25
CYTDK2m,7,7,16,18
CYTDtm,7,7,16,18
CYTK1,23,18,0,7
CYTK1m,7,7,16,18
CYTK3,0,2,23,23
CYTK8,0,5,23,20
DADK1,5,2,18,23
DADNK,5,4,18,21
DATPtn,23,25,0,0
DCTPtn,23,25,0,0
DECDPtm,2,10,21,15
DESAT16_1,1,0,22,25
DESAT18_1,2,6,21,19
DGK1i,0,1,23,24
DGNSK,0,1,23,24
DGTPtn,23,25,0,0
DGULND,1,0,22,25
DHCR241r,5,7,18,18
DHCR242r,1,4,22,21
DHCR243r,17,14,6,11
DHCR71r,17,14,6,11
DHCR72r,6,11,17,14
DHCRD1,23,24,0,1
DHCRD2,0,1,23,24
DHDPBMTm,2,10,21,15
DHFR,6,4,17,21
DHFR3m,0,1,23,24
DHFR3x,0,1,23,24
DHFRm,0,1,23,24
DHFRx,0,6,23,19
DHFtm,0,6,23,19
DHORD9,23,25,0,0
DHORTS,23,25,0,0
DHPM2,0,1,23,24
DHPR,1,7,22,18
DHPRy,0,1,23,24
DLD,0,1,23,24
DMATTx,23,25,0,0
DNAsyn,23,25,0,0
DNDPt42m,0,8,23,17
DPGM,0,1,23,24
DPHMBDCm,2,10,21,15
DPMVDc,23,25,0,0
DPPS,2,10,21,15
DSAT,23,25,0,0
DTMPK,23,25,0,0
DTTPtn,23,25,0,0
DUMPtm,0,8,23,17
DURAD2x,0,1,23,24
DURIPP,3,0,20,25
DUTCP,8,7,15,18
DUTPDP,21,4,2,21
DUTPDPm,0,8,23,17
D_3AIBt,0,1,23,24
EAR100y,23,25,0,0
EAR120y,23,25,0,0
EAR140y,23,25,0,0
EAR40y,23,25,0,0
EAR60y,23,25,0,0
EAR80y,23,25,0,0
EBP1r,18,18,5,7
EBP2r,5,7,18,18
ECOAH1m,0,1,23,24
ENO,0,7,23,18
ETHAK,23,19,0,6
FA140ACPH,23,23,0,2
FACOAL140i,23,20,0,5
FADFADH2tm,0,1,23,24
FADH2ETC,0,1,23,24
FAE180,4,9,19,16
FAE200,0,1,23,24
FAE220,0,1,23,24
FAE240,0,1,23,24
FAE260,0,1,23,24
FBA2,0,1,23,24
FBA3,0,1,23,24
FCYTOB5OXRr,20,21,3,4
FCYTOB5OXRyr,1,3,22,22
FDH,21,14,2,11
FKYNH,16,4,7,21
FOLtm,0,1,23,24
FORtr,23,25,0,0
FRDPtc,2,10,21,15
FRDPtr,23,25,0,0
FTCD,8,7,15,18
FUM,23,21,0,4
FUMAC,1,2,22,23
FUMm,0,2,23,23
FUMtm,0,1,23,24
G3PD1,22,23,1,2
G5SADr,2,1,21,24
G6PDH1rer,0,1,23,24
G6PDH2r,1,4,22,21
G6PDH2rer,3,7,20,18
G6Pt6er,0,2,23,23
GALK,1,1,22,24
GALM2,1,1,22,24
GALU,1,1,22,24
GAPD,0,4,23,21
GARFT,23,25,0,0
GF6PTA,0,1,23,24
GHMT2r,3,5,20,20
GHMT2rm,0,1,23,24
GK1i,23,25,0,0
GLCURter,1,0,22,25
GLCt1r,22,12,1,13
GLNTRS,23,25,0,0
GLNtN1,0,1,23,24
GLU5SAtmc,2,1,21,24
GLUDym,2,0,21,25
GLUPRT,23,25,0,0
GLUTRS,23,25,0,0
GLYALDORy,0,1,23,24
GLYATm,0,3,23,22
GLYC3Ptm,0,2,23,23
GLYC3Ptmc,11,6,12,19
GLYCtm,0,1,23,24
GLYKm,0,1,23,24
GLYTRS,23,25,0,0
GLYtm,0,1,23,24
GMPS,21,19,2,6
GMPS2,2,6,21,19
GND,1,4,22,21
GNDer,3,9,20,16
GPAM_hs,12,14,11,11
GPAMm_hs,13,13,10,12
GPAT,0,1,23,24
GRTTx,23,25,0,0
GSADHm,2,1,21,24
GTPGDPtm,0,3,23,22
GULN3D,1,0,22,25
GULNDer,1,0,22,25
GULNter,1,0,22,25
GluForTx,8,7,15,18
H2Otg,0,1,23,24
H2Otm,0,3,23,22
HACD180,4,9,19,16
HACD1m,0,1,23,24
HACD200,0,1,23,24
HACD220,0,1,23,24
HACD240,0,1,23,24
HACD260,0,1,23,24
HBZOPT10m,2,10,21,15
HCO3E,0,4,23,21
HCO3Ee,6,4,17,21
HCO3Em,9,4,14,21
HCO3tm,8,3,15,22
HEX1,10,5,13,20
HEX12,0,3,23,22
HEX7,5,1,18,24
HEXCCOAtr,0,1,23,24
HGNTOR,1,2,22,23
HISCITRtm,0,1,23,24
HISD,8,7,15,18
HISTRS,23,25,0,0
HIStN1,0,1,23,24
HKYNH,16,4,7,21
HMGCOARc,23,25,0,0
HMGCOASi,0,1,23,24
HMGCOASim,22,24,1,1
HMGCOAtm,22,24,1,1
HMGCOAtx,0,1,23,24
HMGL,1,1,22,24
HMGLx,0,1,23,24
HSD180,4,9,19,16
HSD200,0,1,23,24
HSD220,0,1,23,24
HSD240,0,1,23,24
HSD260,0,1,23,24
Htg,0,1,23,24
ICDHyrm,1,3,22,22
ILEOX,0,1,23,24
ILETAm,0,1,23,24
ILETRS,23,25,0,0
ILEt4,16,10,7,15
ILEt5m,0,1,23,24
ILEtec,4,11,19,14
IMPC,23,25,0,0
IMPD,23,25,0,0
INSTt4_2,23,25,0,0
IPDDIx,23,25,0,0
IPDPtx,23,25,0,0
IZPN,8,7,15,18
KCC2t,0,4,23,21
KHK,0,1,23,24
KYN3OX,16,4,7,21
LARGtiDF,8,9,15,16
LEUTRS,23,25,0,0
LEUt4,16,9,7,16
LEUtec,3,7,20,18
LNS14DMr,23,25,0,0
LNSTLSr,23,25,0,0
LSTO1r,17,14,6,11
LSTO2r,6,11,17,14
LYSTRS,23,25,0,0
LYSt4,0,6,23,19
LYSt5r,23,18,0,7
L_LACtcm,1,2,22,23
L_LACtm,1,2,22,23
MACACIr,1,2,22,23
MALACONtm,1,2,22,23
MALCOAMT,23,22,0,3
MALCOAMTr,23,22,0,3
MAL_Lte,10,14,13,11
MALtm,0,2,23,23
MCOATA,23,25,0,0
MDHm,0,3,23,22
ME2,0,1,23,24
ME2m,4,5,19,20
METAT,3,1,20,24
METTRS,23,25,0,0
METt4,19,16,4,9
MEVK1c,23,25,0,0
MI1PP,0,1,23,24
MTHFC,23,21,0,4
MTHFCm,0,1,23,24
MTHFD,3,2,20,23
MTHFD2,5,4,18,21
MTHFDm,0,1,23,24
NACDe,23,22,0,3
NACPRT,23,22,0,3
NADHtru,6,6,17,19
NADPHtru,20,12,3,13
NADPtru,20,12,3,13
NADtru,6,6,17,19
NAt5,0,1,23,24
NCAMDe,16,19,7,6
NDP7g,0,1,23,24
NDP8,2,10,21,15
NDPK1,22,20,1,5
NDPK2,23,25,0,0
NDPK3,0,1,23,24
NDPK3m,7,7,16,18
NDPK4,23,25,0,0
NDPK5,23,25,0,0
NDPK6,12,0,11,25
NDPK7,23,25,0,0
NDPK8,1,0,22,25
NH4t3r,2,2,21,23
NH4tm,0,1,23,24
NKCCt,0,1,23,24
NMNDA,16,19,7,6
NMNS,7,14,16,11
NNDPR,16,4,7,21
NTD1,3,0,20,25
NTD2,0,1,23,24
NTD5,0,1,23,24
NTD9,0,1,23,24
O2t,13,7,10,18
O2ter,23,25,0,0
O2tm,23,24,0,1
OBDHc,7,15,16,10
OCBTm,0,1,23,24
OCDE9ECOAtr,2,1,21,24
OCOAT1m,0,3,23,22
OMPDC,23,25,0,0
ORNHISt2m,0,1,23,24
ORPT,23,25,0,0
OXALSUCCCLm,1,3,22,22
PCRNtm,2,1,21,24
PEMET1,16,24,7,1
PEMET2,16,24,7,1
PETHCT,23,25,0,0
PE_HStm,2,0,21,25
PFK_3,0,1,23,24
PGI,12,6,11,19
PGK,0,3,23,22
PGL,1,4,22,21
PGLer,3,9,20,16
PGM,0,3,23,22
PGMT,0,2,23,23
PGPPT,23,25,0,0
PGPP_hs,23,25,0,0
PHETRS,23,25,0,0
PHEt4,19,11,4,14
PHEtec,3,6,20,19
PIATPLtm,4,8,19,17
PIt2m_2,0,2,23,23
PIter,20,15,3,10
PItg,0,1,23,24
PMEVKc,23,25,0,0
PMTCOAFABP1tc,23,22,0,3
PMTCOAPTr,0,1,23,24
PNP,15,11,8,14
PPA,1,0,22,25
PPAPA,4,10,19,15
PPAer,7,12,16,13
PPCOACRNtm,2,9,21,16
PPCOAtm,2,4,21,21
PPIOGLYc,0,1,23,24
PPIOGLYte,0,1,23,24
PPIOGLYtm,0,1,23,24
PPItm,15,16,8,9
PPItn,23,25,0,0
PPItx,23,25,0,0
PPM,11,12,12,13
PRAGS,23,25,0,0
PRAIS,23,25,0,0
PRASCS,23,25,0,0
PRFGS,23,25,0,0
PROTRS,23,25,0,0
PROTsyn,23,25,0,0
PROt4,21,19,2,6
PROt4_2_r,0,1,23,24
PRPPS,12,14,11,11
PSDm_hs,2,0,21,25
PSFLIPm,2,0,21,25
PSPPSr,23,25,0,0
PSSA1_hs,0,7,23,18
PSSA2_hs,23,19,0,6
PUNP1,5,4,18,21
PUNP2,5,4,18,21
PUNP3,0,1,23,24
PUNP4,0,1,23,24
PYK7,20,24,3,1
PYNP2r,1,3,22,22
PYRtm,4,7,19,18
Q10H2e,2,10,21,15
QUILSYN,16,4,7,21
R5Ptr,22,25,1,0
RNAsyn,23,25,0,0
RNDR1,18,21,5,4
RNDR2,23,24,0,1
RNDR3,23,25,0,0
RNDR4,23,25,0,0
RNMK,15,11,8,14
RPE,19,9,4,16
RPIr,22,25,1,0
RTOT1,23,23,0,2
RTOT3,1,2,22,23
RTOT4,1,3,22,22
RTOT5,0,1,23,24
RTOTALCRNCPT1,13,12,10,13
RTOTALCRNCPT2,13,12,10,13
RTOTALCRNt,13,12,10,13
RU5Ptr,19,14,4,11
SBTD_D2,5,2,18,23
SBTR,5,2,18,23
SERPT,23,25,0,0
SERTRS,23,25,0,0
SERTm,0,1,23,24
SERt4,3,4,20,21
SMS,23,25,0,0
SQLEr,23,25,0,0
SQLSr,23,25,0,0
SUCCACONtm,0,3,23,22
SUCD1m,0,1,23,24
SUCOAS1m,0,3,23,22
T4HCINNMFM,2,10,21,15
TALA,18,9,5,16
TECR180,4,9,19,16
TECR200,0,1,23,24
TECR220,0,1,23,24
TECR240,0,1,23,24
TECR260,0,1,23,24
THFtm,0,4,23,21
THR3Dx,0,3,23,22
THRA,0,1,23,24
THRALANaEx,0,1,23,24
THRD_L,1,6,22,19
THRTRS,23,25,0,0
THRt4,16,17,7,8
TKT1,18,9,5,16
TKT2,18,9,5,16
TMDPP,0,1,23,24
TMDS,23,25,0,0
TPI,0,1,23,24
TRDOXtm,3,2,20,23
TRDR,5,12,18,13
TRDRDtm,3,2,20,23
TRDRm,3,2,20,23
TRPO2,16,4,7,21
TRPTRS,23,25,0,0
TRPt,1,8,22,17
TRPt4,22,16,1,9
TTDCAFATPc,0,3,23,22
TTDCAtr,0,3,23,22
TYRTA,1,1,22,24
TYRTAm,2,10,21,15
TYRTRS,23,25,0,0
TYRtl,2,10,21,15
UAG2EMAi,0,1,23,24
UAGDP,0,1,23,24
UDPG4E,1,2,22,23
UDPGALtg,0,1,23,24
UDPGD,1,0,22,25
UGLCNACtg,0,1,23,24
UGLT,1,1,22,24
UMPK,12,11,11,14
UMPK4,0,1,23,24
UMPK5,0,6,23,19
URCN,8,7,15,18
UREAt,0,1,23,24
URIK4,0,4,23,21
VALTRS,23,25,0,0
VALt4,16,10,7,15
VALtec,4,11,19,14
XYLK,1,0,22,25
XYLTD_Dr,1,0,22,25
XYLUR,1,0,22,25
biomass_reaction,23,25,0,0
q10h2tc,2,10,21,15
