SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
HIStiDF,0,1,29,20
HKYNH,2,0,27,21
HMBS,0,1,29,20
HMGCOARc,29,21,0,0
HMGCOASim,23,4,6,17
HMGCOAtm,29,21,0,0
HMGL,6,0,23,21
HOXG,0,1,29,20
HSD11B1r,1,0,28,21
HSD11B2r,1,0,28,21
HSD180,21,15,8,6
HSD200,0,1,29,20
HSD201,1,0,28,21
HSD220,0,1,29,20
HSD221,1,0,28,21
HSD240,0,1,29,20
HSD241,1,0,28,21
HSD260,0,1,29,20
Htg,1,0,28,21
ICDHxrm,1,4,28,17
ICDHyrm,8,13,21,8
ICITMALtm,2,3,27,18
ILETRS,29,21,0,0
ILEt4,26,21,3,0
IMPC,29,21,0,0
IMPD,29,21,0,0
INOSTO,1,0,28,21
INSTt2r,0,1,29,20
INSTt4,15,3,14,18
INSTt4_2,11,14,18,7
IPDDIx,29,21,0,0
IPDPtx,29,19,0,2
ITCOAL1m,1,0,28,21
KCC2t,0,5,29,16
KHK,0,1,29,20
KYN3OX,2,0,27,21
LARGtiDF,20,2,9,19
LEUTA,0,3,29,18
LEUTAm,1,9,28,12
LEUTRS,29,21,0,0
LEUt4,26,19,3,2
LEUt5m,1,9,28,12
LNS14DMr,29,21,0,0
LNSTLSr,29,21,0,0
LSTO1r,13,14,16,7
LSTO2r,16,7,13,14
LYSTRS,29,21,0,0
LYSt4,21,20,8,1
LYSt5r,8,1,21,20
MALCOAMT,29,17,0,4
MALCOAMTr,29,17,0,4
MAL_Lte,17,6,12,15
MCCCm,1,12,28,9
MCOATA,29,21,0,0
MDH,4,4,25,17
MDRPD,2,6,27,15
ME2m,1,4,28,17
METAT,5,6,24,15
METTRS,29,21,0,0
METt4,29,21,0,0
MEVK1c,29,19,0,2
MGCHrm,1,12,28,9
MMMm,0,1,29,20
MMSAD1m,0,1,29,20
MMSAD3m,4,0,25,21
MMTSADm,0,1,29,20
MOD_3mhop,1,12,28,9
MTAP,2,6,27,15
MTHFC,27,8,2,13
MTHFCm,0,1,29,20
MTHFD,3,5,26,16
MTHFD2,22,2,7,19
MTHFDm,0,1,29,20
MTRI,2,6,27,15
NACDe,29,15,0,6
NACPRT,29,15,0,6
NADHtru,17,16,12,5
NADPHtru,11,14,18,7
NADPtru,11,14,18,7
NADtru,17,16,12,5
NCAMDe,29,15,0,6
NDP6,0,7,29,14
NDP7er,1,1,28,20
NDP7g,1,0,28,21
NDP8,13,0,16,21
NDPK1,4,12,25,9
NDPK2,9,16,20,5
NDPK3,11,2,18,19
NDPK4,29,21,0,0
NDPK5,14,18,15,3
NDPK6,3,1,26,20
NDPK7,29,21,0,0
NDPK8,3,0,26,21
NH4t3r,0,1,29,20
NH4tm,3,5,26,16
