SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
H3K4MET_2,1,8,27,19
H3K4MET_3,1,8,27,19
H3K4_synthesis,1,8,27,19
H3K9DMET_1,1,0,27,27
H3K9MET_1,1,1,27,26
H3K9MET_2,0,1,28,26
H3K9MET_3,0,1,28,26
H3K9_synthesis,0,1,28,26
H3R26MET_1,1,0,27,27
H3R26MET_2,1,0,27,27
H3R26MET_3,1,0,27,27
H3R26_synthesis,1,0,27,27
HACD180,20,6,8,21
HACD1m,2,0,26,27
HACD200,7,2,21,25
HACD201,1,0,27,27
HACD220,5,2,23,25
HACD221,1,0,27,27
HACD240,5,2,23,25
HACD241,1,0,27,27
HACD260,5,2,23,25
HAS1,5,2,23,25
HAS2,5,2,23,25
HAtly,5,2,23,25
HBZOPT10m,3,1,25,26
HCO3E,8,12,20,15
HCO3Ee,2,6,26,21
HCO3Em,3,4,25,23
HCO3_CLt,2,4,26,23
HCO3tm,3,3,25,24
HDCAter,1,0,27,27
HEX1,15,14,13,13
HEX12,13,12,15,15
HEX16,2,0,26,27
HEXCCOAtr,5,2,23,25
HISTRS,28,27,0,0
HISt4,17,5,11,22
HIStN1,4,5,24,22
HMBS,7,8,21,19
HMGCOARc,28,27,0,0
HMGCOASi,1,4,27,23
HMGCOASim,17,18,11,9
HMGCOAtm,27,23,1,4
HMGDH,1,0,27,27
HMGL,0,2,28,25
HMGS,1,0,27,27
HOXG,7,8,21,19
HSD180,20,6,8,21
HSD200,7,2,21,25
HSD201,1,0,27,27
HSD220,5,2,23,25
HSD221,1,0,27,27
HSD240,5,2,23,25
HSD241,1,0,27,27
HSD260,5,2,23,25
HSD3B11,0,3,28,24
HYAL,5,2,23,25
Htg,11,7,17,20
Htr,0,12,28,15
ICDHxrm,1,2,27,25
ICDHyr,0,1,28,26
ICDHyrm,6,4,22,23
ICITCITtm,1,0,27,27
ICITMALtm,0,1,28,26
IDHPOXOX2b,1,0,27,27
IDHPOXOX4,1,0,27,27
IDHPOXOXb,1,0,27,27
ILEATB0tc,3,3,25,24
ILEOX,1,0,27,27
ILETAm,1,0,27,27
ILETRS,28,27,0,0
ILEt4,25,18,3,9
ILEt5m,1,0,27,27
IMAGH,1,2,27,25
IMPC,28,27,0,0
IMPD,28,27,0,0
INSTt4_2,28,27,0,0
IPDDIx,28,27,0,0
IPDPtx,28,27,0,0
ITCOAL1m,0,1,28,26
ITCOALm,1,0,27,27
KCC2t,3,4,25,23
KCCt,1,1,27,26
KHte,0,2,28,25
KSII_CORE4t,2,1,26,26
KSII_CORE4tly,2,1,26,26
LARGtiDF,22,11,6,16
LCYSTCBOXL,1,0,27,27
LDH_L,0,2,28,25
LEUATB0tc,4,3,24,24
LEUTA,5,4,23,23
LEUTAm,5,1,23,26
LEUTRS,28,27,0,0
LEUt4,17,13,11,14
LEUt5m,5,1,23,26
LHCYSTIN,0,1,28,26
LHCYSTINt,0,1,28,26
LNS14DMr,28,27,0,0
LNSTLSr,28,27,0,0
LPASE,1,0,27,27
LPCHOLt4,1,0,27,27
LSTO1r,17,16,11,11
LSTO2r,11,11,17,16
LYSATB0tc,2,11,26,16
LYSTRS,28,27,0,0
LYSt4,2,4,26,23
LYSt5r,23,9,5,18
LYStiDF,1,3,27,24
LYStn,1,10,27,17
L_LACt2r,0,12,28,15
L_LACt4r,3,0,25,27
L_LACt4r_2,1,0,27,27
M1316Mg,2,0,26,27
M13N2Tg,2,0,26,27
M16N4Tg,2,0,26,27
M16NTg,2,0,26,27
M4MPDOL_ter,2,0,26,27
M8MASNterg,2,0,26,27
MALCOAMT,25,7,3,20
MALCOAMTr,25,7,3,20
MAL_Lte,13,9,15,18
MAN1PT2,6,5,22,22
MAN6PI,6,5,22,22
MANtg,2,0,26,27
MCCCm,10,5,18,22
MCOATA,28,27,0,0
MDH,5,1,23,26
MDHm,2,0,26,27
ME2,3,0,25,27
ME2m,0,3,28,24
MEOHt2,2,0,26,27
METAT,2,2,26,25
METATB0tc,2,4,26,23
METDECARc,1,0,27,27
METOX,1,1,27,26
METTRANSc,1,0,27,27
METTRS,28,27,0,0
METt4,26,23,2,4
MEVK1c,28,27,0,0
MG1er,2,0,26,27
MG2er,2,0,26,27
MG3er,2,0,26,27
MGCHrm,10,5,18,22
MGSA2,1,0,27,27
MI1PP,5,5,23,22
MM5ag,2,0,26,27
MM6bg,2,0,26,27
MM7Cag,2,0,26,27
MM8Ag,2,0,26,27
MMSAD3m,2,0,26,27
MOD_3mhop,10,5,18,22
MOGAT,0,1,28,26
MTHFC,22,17,6,10
MTHFCm,6,9,22,18
MTHFD,11,14,17,13
MTHFD2,11,3,17,24
MTHFDm,6,9,22,18
NACDe,21,23,7,4
NACHEX24ly,4,2,24,25
NACHEX25ly,4,2,24,25
NACHEX26ly,2,1,26,26
NACPRT,21,23,7,4
NADH2_u10m,2,0,26,27
NADHtru,24,16,4,11
NADPHtru,28,27,0,0
NADPtru,28,27,0,0
NADtru,24,16,4,11
NAGA2ly,4,2,24,25
NAGLCAly,4,2,24,25
NAHCO3_HCLt,1,0,27,27
NAIt,1,0,27,27
NAt3_1,0,1,28,26
NAt5,4,13,24,14
NCAMDe,21,23,7,4
NCKt,0,5,28,22
NCNt,0,5,28,22
NDP6,5,4,23,23
NDP7er,9,8,19,19
NDP7g,11,7,17,20
NDP8,21,21,7,6
NDPK1,13,12,15,15
NDPK1m,1,0,27,27
NDPK2,22,17,6,10
NDPK3,18,13,10,14
NDPK3m,2,2,26,25
NDPK4,28,27,0,0
NDPK5,22,17,6,10
NDPK6,1,1,27,26
NDPK7,28,27,0,0
NDPK8,6,6,22,21
NH4t3r,2,1,26,26
NH4tm,7,9,21,18
NH4tn,3,2,25,25
NMNDA,21,23,7,4
NMNS,11,10,17,17
NORANMT,2,0,26,27
NQO2,1,1,27,26
NRVNCCOAtr,1,0,27,27
NTD2,1,1,27,26
NTD3,5,4,23,23
NTD7,1,1,27,26
NTD7e,0,1,28,26
NTD9,0,1,28,26
O2St,0,3,28,24
O2Stm,0,3,28,24
O2t,26,22,2,5
O2ter,28,27,0,0
O2tm,28,24,0,3
O2tn,3,0,25,27
O2tp,2,2,26,25
OAADC,2,0,26,27
OBDHc,2,0,26,27
OCBTm,1,0,27,27
OCDE9ECOAtr,8,3,20,24
OCOAT1m,2,3,26,24
OMPDC,28,27,0,0
ORNTArm,3,3,25,24
ORNt,1,0,27,27
ORNt3m,1,2,27,25
ORNtiDF,1,1,27,26
ORPT,28,27,0,0
OXALSUCCCL,0,1,28,26
OXALSUCCCLm,7,5,21,22
P45011A1m,0,3,28,24
PALFATPtc,1,0,27,27
PAPStg,4,2,24,25
PAPtg,4,2,24,25
PCHOLHSTDe,1,0,27,27
PDHa,1,10,27,17
PDHbr,1,10,27,17
PEMET1,18,15,10,12
PEMET2,18,15,10,12
PEPACONtm,1,0,27,27
PEPCK,1,0,27,27
PEPCKm,2,0,26,27
PETHCT,13,16,15,11
PE_HStm,8,11,20,16
PFK,21,21,7,6
PFK2,0,2,28,25
PFK_3,1,1,27,26
PGI,21,25,7,2
PGK,17,19,11,8
PGL,7,1,21,26
PGM,18,19,10,8
PGMT,17,11,11,16
PGPPT,28,27,0,0
PGPP_hs,28,27,0,0
PHEATB0tc,3,4,25,23
PHEMEtm,7,8,21,19
PHEOX,0,1,28,26
PHETA1,0,1,28,26
PHETRS,28,27,0,0
PHEt4,16,9,12,18
PIATPLtm,1,1,27,26
PIMALtm,4,7,24,20
PIPLC,5,5,23,22
PIt2m_2,8,2,20,25
PIt2r,2,0,26,27
PIt7,1,2,27,25
PIter,25,19,3,8
PItg,11,7,17,20
PItn,3,2,25,25
PLA2_2e,1,0,27,27
PLMCOAPTr,1,2,27,25
PMANM,6,5,22,22
PMEVKc,28,27,0,0
PMTCOAFABP1tc,23,9,5,18
PMTCOAPTr,3,0,25,27
PNP,20,22,8,5
PNTK,2,16,26,11
PNTOt1,0,8,28,19
PNTOt2e,0,1,28,26
PNTOte,2,7,26,20
PPA,19,9,9,18
PPAPA,13,17,15,10
PPAer,16,14,12,13
PPAm,0,3,28,24
PPAn,3,2,25,25
PPBNGS,7,8,21,19
PPCDC,2,16,26,11
PPCOACRNtm,4,10,24,17
PPCOAOm,1,0,27,27
PPCOAtm,3,10,25,17
PPIOGLYc,1,0,27,27
PPIOGLYte,1,0,27,27
PPIOGLYtm,1,0,27,27
PPIPItr,1,13,27,14
PPItm,16,9,12,18
PPItn,25,25,3,2
PPItr,8,12,20,15
PPItx,28,27,0,0
PPM,20,22,8,5
PPNCL2,2,15,26,12
PPNCL3,0,1,28,26
PPPG9tm,7,8,21,19
PPPGOm,7,8,21,19
PRAGS,28,27,0,0
PRAIS,28,27,0,0
PRASCS,28,27,0,0
PRFGS,28,27,0,0
PRGNLONEtm,0,3,28,24
PRGSTRNt,0,3,28,24
PRO1x,2,1,26,26
PROAKGOX1m,7,6,21,21
PROD2,0,1,28,26
PROGLUtm,5,2,23,25
PROTRS,28,27,0,0
PROTsyn,28,27,0,0
PROt2r,4,4,24,23
PROt4,21,15,7,12
PROt4_2_r,1,3,27,24
PROtm,7,6,21,21
PRPNCOAHYDm,1,0,27,27
PRPPS,8,5,20,22
PSDm_hs,8,11,20,16
PSFLIPm,8,11,20,16
PSPPSr,28,27,0,0
PSSA1_hs,16,13,12,14
PSSA2_hs,17,15,11,12
PTPAT,2,16,26,11
PUNP1,3,3,25,24
PUNP2,3,2,25,25
PUNP3,0,1,28,26
PUNP4,0,1,28,26
PVD3,1,0,27,27
PYK,0,1,28,26
PYK2,6,10,22,17
PYK4,5,10,23,17
PYK5,6,10,22,17
PYK6,2,10,26,17
PYK7,21,20,7,7
PYNP2r,0,1,28,26
PYRLACte,0,1,28,26
PYRt2m,0,2,28,25
PYRt2r,1,0,27,27
PYRt4_2,1,0,27,27
PYRtm,2,2,26,25
Pite,2,1,26,26
Q10H2e,3,1,25,26
R5Ptr,23,18,5,9
RBFK,0,2,28,25
RDH1a,0,1,28,26
RIBFLVt6,0,2,28,25
RNAsyn,28,27,0,0
RND213,2,0,26,27
RNDR1,25,25,3,2
RNDR2,28,26,0,1
RNDR3,28,27,0,0
RNDR4,23,23,5,4
RNMK,20,22,8,5
RPE,20,27,8,0
RPIr,23,18,5,9
RTOT1,28,27,0,0
RTOT2,1,0,27,27
RTOT3,5,2,23,25
RTOT4,4,3,24,24
RTOT5,5,2,23,25
RTOTALCRNCPT1,12,11,16,16
RTOTALCRNCPT2,12,11,16,16
RTOTALCRNt,12,11,16,16
RTOT_2,1,0,27,27
RTOT_3,1,0,27,27
RU5Ptr,23,18,5,9
R_group_phosphotase_1,2,1,26,26
Rtotalt,1,0,27,27
Rtotaltl,1,0,27,27
S23T4g,2,1,26,26
S6T16g,2,1,26,26
S6T17g,2,1,26,26
S6T18g,2,1,26,26
S6TASE24ly,4,2,24,25
S6TASE25ly,2,1,26,26
S6TASE26ly,2,1,26,26
SADT,5,2,23,25
SARCOXp,1,0,27,27
SARCStm,1,0,27,27
SARCStp,1,0,27,27
SARDHm,1,1,27,26
SERALANaEx,4,0,24,27
SERATB0tc,2,3,26,24
SERPT,28,27,0,0
SERTRS,28,27,0,0
SERTm,5,8,23,19
SERt4,14,18,14,9
SFGTH,1,0,27,27
SGPL12r,1,0,27,27
SIAASE4ly,2,1,26,26
SMPD3l,1,0,27,27
SMS,28,27,0,0
SO3AKGtm,3,6,25,21
SO3MALtm,3,7,25,20
SO4AKGtm,1,0,27,27
SO4CLtex,4,0,24,27
SO4CLtex2,0,1,28,26
SO4HCOtex,1,2,27,25
SO4MALtm,1,0,27,27
SO4t4_3,3,1,25,26
SO4tl,4,2,24,25
SPHINGStl,1,0,27,27
SPHK21c,1,0,27,27
SPHMYLNtl,1,0,27,27
SPHS1Ptr,1,0,27,27
SQLEr,28,27,0,0
SQLSr,28,27,0,0
SUCD1m,1,0,27,27
SUCOAS1m,6,6,22,21
SUCOASm,2,1,26,26
Ser/Thrtg,4,2,24,25
T4HCINNMFM,3,1,25,26
TALA,20,26,8,1
TAURCHAe,1,0,27,27
TECR180,20,6,8,21
TECR200,7,2,21,25
TECR201,1,0,27,27
TECR220,5,2,23,25
TECR221,1,0,27,27
TECR240,5,2,23,25
