SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
NKCC2t,4,2,19,23
NKCCt,1,3,22,22
NMNDA,8,2,15,23
NMNS,7,1,16,24
NOS2,1,0,22,25
NOX,0,1,23,24
NQO2,1,1,22,24
NRVNCCOAtr,4,3,19,22
NRVNCCOAtxc,0,2,23,23
NTD3,0,5,23,20
NTD4,0,5,23,20
NWHARGOR,1,0,22,25
O2Stm,1,0,22,25
O2Stx,0,1,23,24
O2t,18,19,5,6
O2ter,23,25,0,0
O2tm,15,24,8,1
O2tp,0,2,23,23
OAADC,0,2,23,23
OBDHc,0,1,23,24
OCDE9ECOAtr,6,3,17,22
OCOAT1m,4,2,19,23
OMPDC,23,25,0,0
ORPT,23,25,0,0
OXALSUCCCL,1,0,22,25
OXALSUCCCLm,1,16,22,9
P5CRm,0,2,23,23
PDHa,1,1,22,24
PDHbr,1,1,22,24
PEMET1,10,6,13,19
PEMET2,10,6,13,19
PEPCKm,0,1,23,24
PETHCT,2,2,21,23
PE_HStm,10,19,13,6
PFK,8,5,15,20
PFK_3,5,6,18,19
PFK_4,0,2,23,23
PGI,11,8,12,17
PGK,14,22,9,3
PGL,2,13,21,12
PGLer,10,12,13,13
PGM,15,22,8,3
PGMT,13,8,10,17
PGPPT,23,25,0,0
PGPP_hs,23,25,0,0
PHEATB0tc,7,2,16,23
PHEMEtm,1,2,22,23
PHEOX,0,1,23,24
PHETA1m,0,1,23,24
PHETRS,23,25,0,0
PHEt4,11,13,12,12
PHEt4m,0,1,23,24
PHEyLATthc,0,2,23,23
PHPYRtm,0,1,23,24
PIATPLtm,5,7,18,18
PIGTHRDLtm,0,4,23,21
PIMALtm,2,0,21,25
PIPLC,0,8,23,17
PIt2m,0,1,23,24
PIt2m_2,2,1,21,24
PIt7,10,0,13,25
PIt8,1,1,22,24
PIt9,7,2,16,23
PIter,1,0,22,25
PItg,12,6,11,19
PItn,0,3,23,22
PLMCOAPTr,6,5,17,20
PMANM,11,5,12,20
PMEVKc,23,25,0,0
PMTCOAFABP1tc,22,12,1,13
PNP,2,1,21,24
PNTK,1,16,22,9
PNTOt1,1,16,22,9
PPA,19,15,4,10
PPAPA,0,10,23,15
PPAer,16,5,7,20
PPAm,0,9,23,16
PPAn,0,3,23,22
PPBNGS,1,2,22,23
PPCDC,1,16,22,9
PPCOACRNtm,1,1,22,24
PPCOAOm,1,0,22,25
PPIOGLYc,0,1,23,24
PPIOGLYte,0,1,23,24
PPIOGLYtm,0,1,23,24
PPIPItr,3,1,20,24
PPItm,20,10,3,15
PPItn,23,21,0,4
PPItr,6,10,17,15
PPItx,23,25,0,0
PPM,2,1,21,24
PPNCL2,1,3,22,22
PPNCL3,0,13,23,12
PPPG9tm,1,2,22,23
PPPGOm,1,2,22,23
PRAGS,23,25,0,0
PRAIS,23,25,0,0
PRASCS,23,25,0,0
PRDX,3,0,20,25
PRFGS,23,25,0,0
PROAKGOX1m,2,0,21,25
PROD2m,0,1,23,24
PROGLUtm,5,2,18,23
PROTRS,23,25,0,0
PROTsyn,23,25,0,0
PROt2r,8,3,15,22
PROt4,10,15,13,10
PROt4_2_r,3,3,20,22
PROtm,4,1,19,24
PRPNCOAHYDm,1,0,22,25
PRPPS,21,24,2,1
PSDm_hs,10,19,13,6
PSFLIPm,10,19,13,6
PSPPSr,23,25,0,0
PSSA1_hs,23,25,0,0
PSSA2_hs,8,4,15,21
PTPAT,1,16,22,9
PVD3,1,3,22,22
PYK,0,2,23,23
PYK2,1,3,22,22
PYK4,1,2,22,23
PYK5,1,3,22,22
PYK6,1,0,22,25
PYK7,16,21,7,4
PYRt2m,1,0,22,25
PYRt2r,5,1,18,24
PYRtm,2,10,21,15
Pit4,0,1,23,24
Q10H2e,1,0,22,25
R5Ptr,23,1,0,24
RNAsyn,23,25,0,0
RNDR1,23,25,0,0
RNDR2,23,25,0,0
RNDR3,23,25,0,0
RNDR4,23,20,0,5
RNMK,2,1,21,24
RPE,10,9,13,16
RPI,0,23,23,2
RPIr,23,1,0,24
RTOT1,22,24,1,1
RTOT3,3,2,20,23
RTOT4,11,3,12,22
RTOT5,3,2,20,23
RTOTALCRNCPT1,19,12,4,13
RTOTALCRNCPT2,19,12,4,13
RTOTALCRNt,19,12,4,13
RTOT_3,0,2,23,23
RU5Ptr,12,12,11,13
SBTR,0,2,23,23
SBT_Dtde,0,2,23,23
SERALANaEx,2,3,21,22
SERATB0tc,6,0,17,25
SERGLNexR,0,5,23,20
SERGLYexR,2,1,21,24
SERPT,23,25,0,0
SERTRS,23,25,0,0
SERTm,0,2,23,23
SERt4,8,10,15,15
SMS,23,25,0,0
SO3AKGtm,3,0,20,25
SO3MALtm,2,0,21,25
SPODMx,0,1,23,24
SQLEr,23,25,0,0
SQLSr,23,25,0,0
SSALym,1,6,22,19
ST3GAL61g,2,0,21,25
SUCCACONtm,0,3,23,22
SUCCICITtm,0,1,23,24
SUCCt2m,0,1,23,24
SUCCt4_3,0,4,23,21
SUCOAS1m,5,10,18,15
T4HCINNMFM,2,0,21,25
TALA,8,7,15,18
TECR180,20,8,3,17
TECR200,3,2,20,23
TECR201,4,3,19,22
TECR220,3,2,20,23
TECR221,4,3,19,22
TECR224,0,1,23,24
TECR240,3,2,20,23
TECR241,4,3,19,22
TECR260,3,2,20,23
THFt2,1,0,22,25
THFtm,5,1,18,24
THRA,9,5,14,20
THRALANaEx,1,2,22,23
THRATB0tc,3,1,20,24
THRD_L,0,1,23,24
THRGLNexR,0,5,23,20
THRGLYexR,1,2,22,23
THRTRS,23,25,0,0
THRt4,12,10,11,15
TKT1,10,9,13,16
TKT2,10,9,13,16
TMDS,23,25,0,0
TPI,11,13,12,12
TRDOXtm,11,0,12,25
TRDR,11,25,12,0
TRDRDtm,11,0,12,25
TRDRm,11,0,12,25
TRPATB0tc,3,2,20,23
TRPTRS,23,25,0,0
TRPt,0,1,23,24
TRPt4,20,22,3,3
TTDCPT1,2,4,21,21
TTDCPT2,2,4,21,21
TTDCRNt,2,4,21,21
TYRATB0tc,3,4,20,21
TYROX,3,0,20,25
TYRPHELAT2tc,0,2,23,23
TYRTA,2,0,21,25
TYRTAm,2,0,21,25
TYRTRS,23,25,0,0
TYRt4,20,18,3,7
TYRtl,2,0,21,25
UAG2EMAi,3,0,20,25
UAGDP,13,7,10,18
UDPDOLPT,0,1,23,24
UDPG4E,10,3,13,22
UDPGALt2r,10,3,13,22
UDPGALtg,10,3,13,22
UDPGD,1,2,22,23
UDPGGPGTr,10,3,13,22
UDPGLCAter,1,2,22,23
UGCGc,10,3,13,22
UGLCNACtg,11,5,12,20
UGT1A2r,1,2,22,23
UMPK,7,0,16,25
UMPK4,2,7,21,18
UMPK5,10,13,13,12
UMPtr,10,3,13,22
UPP3S,1,2,22,23
UPPDC1,1,2,22,23
URIK2,2,7,21,18
URIK4,2,6,21,19
Uritn,0,3,23,22
VALATB0tc,5,4,18,21
VALLAT1tc,0,2,23,23
VALPHELAT2tc,0,1,23,24
VALTRS,23,25,0,0
VALt4,18,14,5,11
VD3,1,3,22,22
biomass_reaction,23,25,0,0
q10h2tc,2,1,21,24
q10tm,1,1,22,24
