Reaction,log_fc,p_value,adj_p_val,Fluxes
3OAR100,1.7214940193796648,0.0005466429957795445,0.024857870965975075,Unchanged
3OAR120,1.7159464878833905,0.0009252208743318213,0.03834181861245382,Unchanged
3OAR140,1.7114285879293858,0.0010714683945273452,0.03834181861245382,Unchanged
3OAR160,4.074326782085581e-05,0.6350263239877817,1.0,Unchanged
3OAR180,0.0,1.0,1.0,Unchanged
3OAR40,2.25600511192014,0.00019525154578122787,0.01386553442917651,Unchanged
3OAR60,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3OAR80,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3OAS100,1.7214940193796648,0.0005466429957795445,0.024857870965975075,Unchanged
3OAS120,1.7159464878833905,0.0009252208743318213,0.03834181861245382,Unchanged
3OAS140,1.7114285879293858,0.0010714683945273452,0.03834181861245382,Unchanged
3OAS160,4.074326782085581e-05,0.6350263239877817,1.0,Unchanged
3OAS180,0.0,1.0,1.0,Unchanged
3OAS60,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3OAS80,1.7240700236135127,0.0005466429957795445,0.024857870965975075,Unchanged
3OHGLUTACm,5.36279243371934,0.10086236377893393,0.8953261880650574,Unchanged
3OHGLUTACOAT3t,5.36279243371934,0.10086236377893393,0.8953261880650574,Unchanged
3OHGLUTACte,0.0,1.0,1.0,Unchanged
3OHGLUTACtm,5.36279243371934,0.10086236377893393,0.8953261880650574,Unchanged
3PGtm,0.0,1.0,1.0,Unchanged
3SALAASPm,-0.8269168253890561,0.41496687754159667,1.0,Unchanged
3SALACBOXL,0.000841644278724764,0.6350263239877817,1.0,Unchanged
3SALAOX,0.00028977930224891615,0.8123991531268748,1.0,Unchanged
3SALATAi,-2.7181247578883114e-05,0.43898457411031366,1.0,Unchanged
3SALATAim,-0.8269168253890561,0.41496687754159667,1.0,Unchanged
3SPYRSP,-2.7181247578883114e-05,0.43898457411031366,1.0,Unchanged
3SPYRSPm,-0.8269168253890561,0.41496687754159667,1.0,Unchanged
