id	filename	md5	size	state
41da21df-4ad1-4cf4-88fc-284b0fcb7a72	791f3e27-7f85-4183-ad1b-31fa208a346d.FPKM-UQ.txt.gz	b49b889dc3311c5fc569fd09fdddc966	513467	released
4753cdfe-c511-4d3c-826a-a782617188b8	13ca4ae4-49ec-43d1-bdf7-9cd4d1261382.FPKM-UQ.txt.gz	538f572fc261325a0e26698ac44e5af7	539752	released
7a0ced43-7c7e-48f1-b11d-f4e961ecc0b5	c69ea217-6123-4d3d-8233-505f4a6f14ae.FPKM-UQ.txt.gz	7a3e92dba32993f0ec293fbeecd887b1	526743	released
93898155-f3f9-4e86-8d95-220876cb5081	d8024d77-6758-4560-9353-31b4c2c1f918.FPKM-UQ.txt.gz	f75dbd1f208693839df5523a0df78f2c	515263	released
c287cfec-5d78-4336-beaf-a42dd08286ae	ed38b883-ef87-45ae-846b-4b49e39dd551.FPKM-UQ.txt.gz	adc1a3accc7bd598a5bfc1ce24f6f4a2	529458	released
ffdf6963-20d7-442c-a826-7de446b04a3e	ea58cb42-443e-4b25-9bef-0093e8ac98b1.FPKM-UQ.txt.gz	ceec7c3f731933a339a3308d9bcf2ff3	516968	released
f26639f0-627d-464b-9ea0-0649f8a2d883	fd648134-885c-46ce-9297-8cfe639182c0.FPKM-UQ.txt.gz	44637413ccdbeffed44430ccfec0f8ba	516629	released
b1ff9c2c-0a8a-4ad2-bc9c-d477782ff127	8372c003-e16d-4ca9-a54c-ed02149b4024.FPKM-UQ.txt.gz	26303e59fc927a696a406f12d19f82aa	519248	released
5a18a142-6a8d-4b53-858a-4e0520f653e4	89fd615f-2345-47c0-b226-639f5c4a382a.FPKM-UQ.txt.gz	88018d0d445fd177f16b8c4c819709d2	519768	released
5f95a1f2-d944-4c4e-9fb7-2abde75837e4	79082246-9d10-41a0-9e47-713e930f0e69.FPKM-UQ.txt.gz	e17fd5a8cbfe12f387238400d5d7f227	516897	released
f2c1110a-e416-4eb3-8292-b15f496cdf7f	5f08fba8-40e1-412f-8e20-738093a8b569.FPKM-UQ.txt.gz	2c66ee279839247bd34e1a62aa4c029d	521995	released
2b0b6720-6be0-4a54-b6af-3ce81914501e	48c05ad3-da5a-43b9-bd14-cc90943ea524.FPKM-UQ.txt.gz	62fcfec39a70acb9e8003a2f7f5eb218	500321	released
4b9072a6-2bd1-4d3d-8a63-8a38a7d46778	fe402132-5c5f-4e43-8ccb-acde2b394619.FPKM-UQ.txt.gz	84371235fbf3e3fc5b4984913e6fff9d	507881	released
ae82156c-700b-4806-9ea4-26ef46da6995	d69d82f1-1173-42d6-8433-d5ab7e7ab59b.FPKM-UQ.txt.gz	262b638dea303b8fca02b8b002bcd67b	520439	released
f5dccf1e-eb4a-4b80-aeee-5ddaf24879fa	41bd622f-6518-45de-8f09-29d1d9655994.FPKM-UQ.txt.gz	58f8bcb939a71574ef9ee30ab7c691a3	522418	released
f55012ee-554d-412d-a42c-4286d244082f	2703db89-10c9-4e4e-b5de-1dd8d98868a6.FPKM-UQ.txt.gz	ba21b7fa91414096c38d8e401671215a	519957	released
4a59b62b-4781-427d-b827-7719cf0de953	5a628dc9-3882-4df4-9b5f-4dd23ceeab92.FPKM-UQ.txt.gz	87903cc8bc0425810779f9877268574f	526497	released
c28b852f-a317-45f8-a416-f7a6ca620d75	ae468888-d1e8-46b6-9f20-e155b4afa7f1.FPKM-UQ.txt.gz	7b7f119cbb7c69c469906cd702a4c24c	509035	released
8e2c3c79-92e1-43ba-ae81-495f00562f13	7553280c-95f5-482a-87b1-cd237bf15c4c.FPKM-UQ.txt.gz	aa297938fad269df251dd0f6933b4287	511811	released
