"entrezgene_id"	"V2"
6416	232447.194048
55248	36173.0777136
9892	1440.77238498
9748	293403.652615
51167	26943.5107372
1308	37416.0553514
119391	16595.7159564
55176	31959.720371
5588	84162.0560217
7089	477208.803122
51665	86448.1460527
83641	50761.8807029
4199	23258.0551205
23216	351402.313854
8621	159366.213329
10797	152882.382974
84679	139358.628323
55810	144637.104306
4904	3125433.738
5141	47537.5660919
5525	431434.231285
1496	77.0752820775
1994	284871.983109
7075	49972.9692652
57609	88002.7732084
6602	247298.878844
9682	307280.722809
4802	157154.188406
84217	44714.7245224
6550	2504.18505406
25791	463008.296936
259266	2973.36679698
8832	17570.3328068
64834	646436.800914
6688	140629.235127
30834	59547.10983
744	3932.20750277
51208	0
27107	109910.978764
4287	16927.4012436
9950	518720.274077
2263	151241.785634
55631	104513.040217
51015	381237.487605
2009	24081.5002155
60487	169802.791815
55623	300817.053333
91283	107565.095573
26153	2707.81688711
55102	71347.534558
10565	318783.946318
348158	0
57623	38891.4945248
9650	65679.2046041
10734	5480.80418114
2235	122501.494143
4649	58598.1167631
8653	50.606679196
5214	883152.520644
3422	164891.817557
6672	126825.993115
1316	460428.387841
8611	283899.403682
4756	233392.443142
23471	1541461.02216
5255	187352.98741
7132	1034713.86719
782	60294.8121595
7813	82033.7204906
9399	48355.2165324
5315	3258461.77366
54505	236893.093711
30836	203988.975056
79091	15866.4753425
7158	152198.066482
7216	26028.8024697
51018	70357.4716711
387	5098426.77422
1659	167198.592423
NA	44379.0021573
5590	71948.8068268
7544	52.538651208
55699	693010.416508
6857	122430.477498
89795	1770.45786026
3421	452725.228731
79641	45256.2492208
57595	6221.01926885
492	0
6093	176554.033749
865	343970.473113
5165	79733.5928267
8692	451640.082339
9759	23134.0438635
11186	86885.6910128
2261	6247.33906156
3430	206489.973996
63897	79992.0067644
80347	466972.027771
79990	186876.54759
4205	162697.294712
55593	624739.792804
7030	617509.056401
4943	130647.439718
2182	277978.252536
3632	123643.123478
27238	293715.007262
56850	222253.409105
24140	307569.423029
55771	8682.96501904
65055	1062.43816278
23250	531621.805174
25885	95304.4642822
9741	4679821.6081
57217	285575.56624
51447	246648.405976
